Scenario,TraceFile,Algorithm,PageTableType,PageSizeKB,MemorySizeKB,TotalAccesses,PageFaults,DirtyPages,ExecutionTimeSeconds
1,./input/compressor.log,random,densa,4,128,1000000,2561,858,0.141792
1,./input/compressor.log,random,densa,4,256,1000000,1609,560,0.116796
1,./input/compressor.log,random,densa,4,512,1000000,936,309,0.112932
1,./input/compressor.log,random,densa,4,1024,1000000,405,57,0.130864
1,./input/compressor.log,random,densa,4,2048,1000000,317,0,0.125648
1,./input/compressor.log,random,densa,4,4096,1000000,317,0,0.120631
1,./input/compressor.log,random,densa,4,8192,1000000,317,0,0.137993
1,./input/compressor.log,random,densa,4,16384,1000000,317,0,0.118833
1,./input/compressor.log,random,hier2,4,128,1000000,2580,888,0.118242
1,./input/compressor.log,random,hier2,4,256,1000000,1594,558,0.117475
1,./input/compressor.log,random,hier2,4,512,1000000,917,301,0.116779
1,./input/compressor.log,random,hier2,4,1024,1000000,422,77,0.124152
1,./input/compressor.log,random,hier2,4,2048,1000000,317,0,0.125809
1,./input/compressor.log,random,hier2,4,4096,1000000,317,0,0.149755
1,./input/compressor.log,random,hier2,4,8192,1000000,317,0,0.123716
1,./input/compressor.log,random,hier2,4,16384,1000000,317,0,0.121488
1,./input/compressor.log,random,hier3,4,128,1000000,2573,852,0.129234
1,./input/compressor.log,random,hier3,4,256,1000000,1584,557,0.136778
1,./input/compressor.log,random,hier3,4,512,1000000,947,298,0.141003
1,./input/compressor.log,random,hier3,4,1024,1000000,446,84,0.118718
1,./input/compressor.log,random,hier3,4,2048,1000000,317,0,0.129146
1,./input/compressor.log,random,hier3,4,4096,1000000,317,0,0.122098
1,./input/compressor.log,random,hier3,4,8192,1000000,317,0,0.121578
1,./input/compressor.log,random,hier3,4,16384,1000000,317,0,0.138795
1,./input/compressor.log,random,invertida,4,128,1000000,2656,895,0.130315
1,./input/compressor.log,random,invertida,4,256,1000000,1597,547,0.141603
1,./input/compressor.log,random,invertida,4,512,1000000,934,316,0.153622
1,./input/compressor.log,random,invertida,4,1024,1000000,411,73,0.146383
1,./input/compressor.log,random,invertida,4,2048,1000000,317,0,0.144851
1,./input/compressor.log,random,invertida,4,4096,1000000,317,0,0.129792
1,./input/compressor.log,random,invertida,4,8192,1000000,317,0,0.124488
1,./input/compressor.log,random,invertida,4,16384,1000000,317,0,0.122508
1,./input/compressor.log,lfu,densa,4,128,1000000,416651,70270,0.204689
1,./input/compressor.log,lfu,densa,4,256,1000000,299627,45132,0.236260
1,./input/compressor.log,lfu,densa,4,512,1000000,284215,43255,0.286669
1,./input/compressor.log,lfu,densa,4,1024,1000000,390,34,0.117604
1,./input/compressor.log,lfu,densa,4,2048,1000000,317,0,0.118425
1,./input/compressor.log,lfu,densa,4,4096,1000000,317,0,0.114692
1,./input/compressor.log,lfu,densa,4,8192,1000000,317,0,0.121891
1,./input/compressor.log,lfu,densa,4,16384,1000000,317,0,0.126549
1,./input/compressor.log,lfu,hier2,4,128,1000000,416651,70270,0.214301
1,./input/compressor.log,lfu,hier2,4,256,1000000,299627,45132,0.220250
1,./input/compressor.log,lfu,hier2,4,512,1000000,284215,43255,0.293545
1,./input/compressor.log,lfu,hier2,4,1024,1000000,390,34,0.117868
1,./input/compressor.log,lfu,hier2,4,2048,1000000,317,0,0.130811
1,./input/compressor.log,lfu,hier2,4,4096,1000000,317,0,0.155760
1,./input/compressor.log,lfu,hier2,4,8192,1000000,317,0,0.149533
1,./input/compressor.log,lfu,hier2,4,16384,1000000,317,0,0.139646
1,./input/compressor.log,lfu,hier3,4,128,1000000,416651,70270,0.233820
1,./input/compressor.log,lfu,hier3,4,256,1000000,299627,45132,0.282898
1,./input/compressor.log,lfu,hier3,4,512,1000000,284215,43255,0.346022
1,./input/compressor.log,lfu,hier3,4,1024,1000000,390,34,0.126631
1,./input/compressor.log,lfu,hier3,4,2048,1000000,317,0,0.125813
1,./input/compressor.log,lfu,hier3,4,4096,1000000,317,0,0.141776
1,./input/compressor.log,lfu,hier3,4,8192,1000000,317,0,0.138615
1,./input/compressor.log,lfu,hier3,4,16384,1000000,317,0,0.124721
1,./input/compressor.log,lfu,invertida,4,128,1000000,416651,70270,0.245757
